cust_id,loan,utility,finance,shopping,other
419,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
420,0.0,0.0,0.0,0.0,1.0
421,0.6818181818181818,0.0,0.13636363636363635,0.18181818181818182,0.0
422,0.15384615384615385,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.0
423,1.0,0.0,0.0,0.0,0.0
425,0.0,0.06060606060606061,0.21212121212121213,0.15151515151515152,0.5757575757575758
432,0.0,0.0,0.9,0.0,0.1
434,0.6,0.4,0.0,0.0,0.0
436,0.0,0.0,0.0,1.0,0.0
439,1.0,0.0,0.0,0.0,0.0
442,0.0,1.0,0.0,0.0,0.0
444,0.0,0.0,0.0,1.0,0.0
445,0.5,0.5,0.0,0.0,0.0
446,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
448,0.0,0.0,0.4,0.4,0.2
449,1.0,0.0,0.0,0.0,0.0
452,0.0,0.2857142857142857,0.0,0.14285714285714285,0.5714285714285714
453,0.0,1.0,0.0,0.0,0.0
456,0.0,0.5,0.0,0.0,0.5
457,0.2,0.6,0.2,0.0,0.0
459,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0
462,0.0,0.13333333333333333,0.03333333333333333,0.0,0.8333333333333334
464,0.0,0.75,0.0,0.125,0.125
467,1.0,0.0,0.0,0.0,0.0
474,0.0,0.0,1.0,0.0,0.0
475,1.0,0.0,0.0,0.0,0.0
478,0.0,0.0,0.6,0.4,0.0
480,0.0,0.25,0.25,0.5,0.0
481,0.0,0.0,0.0,0.5,0.5
484,0.0,0.0,0.0,0.0,1.0
487,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
488,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.4,0.4
489,0.0,0.0,0.0,0.0,1.0
491,0.0,0.1,0.5,0.4,0.0
498,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
499,0.0,0.2,0.4,0.13333333333333333,0.26666666666666666
500,0.0,0.08333333333333333,0.5833333333333334,0.25,0.08333333333333333
503,0.0,0.0,0.0,1.0,0.0
504,0.75,0.0,0.25,0.0,0.0
505,0.0,0.0,0.0,1.0,0.0
507,0.1,0.1,0.5,0.2,0.1
508,1.0,0.0,0.0,0.0,0.0
510,0.07142857142857142,0.0,0.7857142857142857,0.07142857142857142,0.07142857142857142
512,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285
517,0.5,0.0,0.5,0.0,0.0
518,0.0,0.0,0.0,0.0,1.0
521,0.0,0.0,0.0,0.0,1.0
523,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,0.0
524,0.0,1.0,0.0,0.0,0.0
529,1.0,0.0,0.0,0.0,0.0
530,0.0,0.5,0.5,0.0,0.0
532,0.2,0.0,0.8,0.0,0.0
533,0.0,0.0,0.6046511627906976,0.16279069767441862,0.23255813953488372
537,0.0,0.25,0.75,0.0,0.0
540,0.0,0.0,1.0,0.0,0.0
541,0.0,0.6,0.0,0.0,0.4
544,0.0,0.0,1.0,0.0,0.0
545,0.0,1.0,0.0,0.0,0.0
548,1.0,0.0,0.0,0.0,0.0
549,0.0,0.0,0.0,0.0,1.0
551,0.4,0.0,0.6,0.0,0.0
553,0.0,0.0,0.4666666666666667,0.4,0.13333333333333333
