Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,cust_id,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services
0.0,Unknown,Male,less than high school,married,8.0,8.0,4.0,1.0,5.0,1.0,0.0,2.0,65246.3,52.0,2.6,1.0,6.0,13.0,1.0,2.0,39.0,1.0,4.0,226135.0,212474.9,45,Central,Corporate Employee,541,541,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
0.0,0.0,Female,high school,single,4.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,185.13,46.0,2.09,1.0,6.0,13.0,1.0,2.0,33.0,1.0,5.0,53900.0,64076.79,51,Central,Corporate Employee,2551,2551,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Male,others,single,4.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,41885.82,18.0,1.5,1.0,4.0,2.0,1.0,1.0,16.0,1.0,3.0,30666.3,23477.5,50,Northern,Corporate Employee,860,860,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,Unknown,Male,others,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,0.43,462.0,15.93,1.0,28.0,400.0,2.0,27.0,62.0,1.0,7.0,399823.33,399823.87,22,Central,Corporate Employee,3832,3832,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,high school,single,6.0,6.0,1.0,0.0,5.0,0.0,0.0,1.0,1118.06,44.0,2.44,1.0,6.0,21.0,1.0,4.0,23.0,1.0,4.0,158866.0,158414.1,33,Southern,Corporate Employee,2103,2103,0.0,0.1333333333333333,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Male,less than high school,single,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,145134.01,146.0,4.71,1.0,10.0,0.0,0.0,0.0,146.0,1.0,10.0,0.0,41142.45,26,Northern,Student,3607,3607,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
0.0,1.0,Male,bachelor's degree,married - registered,8.0,8.0,5.0,1.0,5.0,1.0,0.0,2.0,165384.38,163.0,6.52,1.0,16.0,80.0,1.0,10.0,83.0,1.0,7.0,9322929.0,9160849.1,48,Central,Entrepreneur,3669,3669,0.1428571428571428,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
0.0,1.0,Female,others,married,7.0,7.0,5.0,1.0,4.0,1.0,0.0,3.0,236721.46,70.0,2.5,1.0,8.0,26.0,1.0,4.0,44.0,1.0,4.0,475396.63,331129.11,44,Northeastern,Entrepreneur,4166,4166,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,35,Southern,Freelancer,3050,3050,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,Female,bachelor's degree,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,361.3,68.0,2.96,1.0,7.0,8.0,1.0,1.0,60.0,1.0,7.0,30000.0,31303.0,60,Central,Corporate Employee,943,943,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0
