cust_id,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services,system_dpst
60,0.0,0.0,1.2623566780023638e-05,1.0677830897114097e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.000400882283624155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,1.6609956289504787e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,7.979921300166784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0005426298406961465,0.0005627358259429983,1.478286109765926e-05,0.0,0.0,0.0014059876785248349,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0006928810046254344,0.0004883716707457576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0009989642961415416,0.0003779390146478542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4.4101058518758277e-05,0.0,0.0005263695148144067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0009283902528630647,0.0005228526346769384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0007218554123768464,0.00031907044693876466,0.0,0.0,0.00020852899049567857,0.0,0.004510151976832968,0.0,0.0
86,0.0,0.0,6.643982515801915e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.00010497492374967025,8.879459377600143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.00011322479722402639,0.0002579518917317705,0.0009456048115615075,0.00025191251050691546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0004276792277166787,0.0,0.0,0.0,0.23871687978215314,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0007513161895100111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.000263699666052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0006899593133141103,0.000401527186086229,0.00013055980791009894,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0005566870017748972,0.0,0.0,0.0013134340887849478,0.0,0.0
105,6.811886862990488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0012580463943452373,0.0008730658184137861,0.0,0.0,0.0,0.0,0.005253736355139791,0.0,0.0
