cust_id,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services,system_dpst
226,1000.0,0.0,2475.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,1078.0,0.0,1280.0,1801.0,740.0,0.0,0.0,90.0,0.0,0.0,0.0
230,0.0,640.93,182.0,182.0,980.0,0.0,149.0,0.0,0.0,0.0,0.0
233,0.0,0.0,397.99,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,7844.0,1924.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.21,0.0
239,7960.0,800.36,970.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,2720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,0.0,58.85,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,30600.0,600.4300000000001,4635.35,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,0.0,0.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1400.0,2189.87,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0
252,0.0,1425.4,3732.05,3664.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,11300.0,4920.14,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0
264,22006.52,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
265,0.0,0.0,2389.0,122.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0
268,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,366.5,66.5,0.0,0.0,0.0,500.0,0.0,0.0,0.0
272,5585.0,0.0,1403.0,1728.0,0.0,0.0,0.0,0.0,1615.1,0.0,0.0
274,18890.0,211.27,3000.0,3000.0,0.0,0.0,737.0,0.0,0.0,0.0,0.0
