iter	Passed	Remaining
762	1131	351
763	1132	349
764	1134	348
765	1135	347
766	1137	345
767	1138	343
768	1140	342
769	1141	341
770	1143	339
771	1144	338
772	1145	336
773	1147	335
774	1148	333
775	1150	332
776	1151	330
777	1152	329
778	1154	327
779	1155	325
780	1157	324
781	1158	322
782	1160	321
783	1161	319
784	1163	318
785	1164	317
786	1165	315
787	1167	314
788	1168	312
789	1170	311
790	1171	309
791	1172	308
792	1174	306
793	1175	305
794	1177	303
795	1178	302
796	1179	300
797	1181	299
798	1182	297
799	1184	296
800	1185	294
801	1186	293
802	1188	291
803	1189	290
804	1191	288
805	1192	287
806	1194	285
807	1195	284
808	1197	282
809	1198	281
810	1199	279
811	1201	278
812	1202	276
813	1204	275
814	1205	273
815	1206	272
816	1208	270
817	1210	269
818	1211	267
819	1212	266
820	1214	264
821	1215	263
822	1217	261
823	1218	260
824	1219	258
825	1221	257
826	1222	255
827	1224	254
828	1225	252
829	1227	251
830	1228	249
831	1230	248
832	1231	246
833	1233	245
834	1234	243
835	1236	242
836	1237	241
837	1239	239
838	1240	238
839	1242	236
840	1243	235
841	1244	233
842	1246	232
843	1247	230
844	1249	229
845	1250	227
846	1252	226
847	1253	224
848	1254	223
849	1256	221
850	1257	220
851	1259	218
852	1260	217
853	1261	215
854	1263	214
855	1264	212
856	1266	211
857	1267	209
858	1268	208
859	1270	206
860	1271	205
861	1273	203
862	1274	202
863	1276	200
864	1277	199
865	1278	197
866	1280	196
867	1281	194
868	1283	193
869	1284	191
870	1285	190
871	1287	188
872	1288	187
873	1290	186
874	1291	184
875	1293	183
876	1294	181
877	1296	180
878	1297	178
879	1299	177
880	1300	175
881	1302	174
882	1303	172
883	1304	171
884	1306	169
885	1308	168
886	1309	166
887	1311	165
888	1312	163
889	1314	162
890	1315	160
891	1316	159
892	1318	157
893	1319	156
894	1321	155
895	1322	153
896	1324	152
897	1326	150
898	1327	149
899	1329	147
900	1330	146
901	1332	144
902	1333	143
903	1335	141
904	1336	140
905	1338	138
906	1340	137
907	1342	136
908	1343	134
909	1345	133
910	1347	131
911	1348	130
912	1350	128
913	1351	127
914	1353	125
915	1354	124
916	1356	122
917	1358	121
918	1359	119
919	1361	118
920	1363	116
921	1364	115
922	1366	113
923	1367	112
924	1369	111
925	1371	109
926	1373	108
927	1374	106
928	1376	105
929	1377	103
930	1379	102
931	1380	100
932	1382	99
933	1383	97
934	1385	96
935	1387	94
936	1388	93
937	1390	91
938	1391	90
939	1393	88
940	1394	87
941	1396	85
942	1397	84
943	1399	82
944	1400	81
945	1402	80
946	1403	78
947	1405	77
948	1406	75
949	1408	74
950	1409	72
951	1411	71
952	1412	69
953	1414	68
954	1416	66
955	1417	65
956	1419	63
957	1420	62
958	1422	60
959	1423	59
960	1424	57
961	1426	56
962	1428	54
963	1429	53
964	1431	51
965	1432	50
966	1434	48
967	1435	47
968	1437	45
969	1438	44
970	1440	43
971	1442	41
972	1443	40
973	1445	38
974	1446	37
975	1447	35
976	1449	34
977	1450	32
978	1452	31
979	1453	29
980	1455	28
981	1456	26
982	1457	25
983	1459	23
984	1460	22
985	1462	20
986	1463	19
987	1465	17
988	1466	16
989	1467	14
990	1469	13
991	1470	11
992	1472	10
993	1473	8
994	1474	7
995	1476	5
996	1477	4
997	1479	2
998	1480	1
999	1481	0
